"Locus_ID","LOC","ID.x","CHROM","chain","sig_SNP","sig_SNP_POS","sig_SNP_name","peak_start","peak_end","snps_in_chain","dist.focal.snp","source","feature","start","end","score","strand","frame","descriptor","func","Transcript_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","Oryzabase.Trait.Gene.ID","Subcellular.location","Comment","B5toI1","Trait_Oncology"
"Os01g0652100","LOC_Os01g46350","OsR498G0101664600.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27462431,27468122,".","-",".","ID=OsR498G0101664600.01;Name=OsR498G0101664600.01;"," proteins of unknown function domain containing protein, expressed","Os01t0652100-01","Protein of unknown function DUF231, plant domain containing protein.","","","","","OsTBL21, TBL21","trichome birefringence-like 21","Molecular Function: O-acetyltransferase activity (GO:0016413), Molecular Function: transferase activity (GO:0016740)","Trichome birefringence-like, N-terminal domain (IPR025846), Trichome birefringence-like, C-terminal domain (IPR026057), Trichome birefringence-like family (IPR029962)","AK073036 (DDBJ, Best hit), AK069291 (DDBJ, Best hit)","A8Y5V3 (UniProt)","","","21476","","","",""
"Os01g0652300","LOC_Os01g46370","OsR498G0101665200.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27477620,27481067,".","-",".","ID=OsR498G0101665200.01;Name=OsR498G0101665200.01;","lipase class 3 family protein, putative, expressed","Os01t0652300-01","Similar to Phospholipase A1-II 7.","","","","","","","","Alpha/Beta hydrolase fold (IPR029058)","AK063136 (DDBJ, Best hit)","A2Y7R2 (UniProt)","","","","","","CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0652600","LOC_Os01g46380","OsR498G0101665700.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27486199,27490383,".","+",".","ID=OsR498G0101665700.01;Name=OsR498G0101665700.01;","ketol-acid reductoisomerase, chloroplast precursor, putative, expressed","Os01t0652600-01","Similar to Ketol-acid reductoisomerase, chloroplast precursor (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacil reductoisomerase).","","","","","","","Biological Process: branched-chain amino acid biosynthetic process (GO:0009082), Molecular Function: ketol-acid reductoisomerase activity (GO:0004455), Molecular Function: oxidoreductase activity (GO:0016491)","Ketol-acid reductoisomerase, C-terminal (IPR000506), 6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily (IPR008927), Ketol-acid reductoisomerase (IPR013023), Ketol-acid reductoisomerase, N-terminal (IPR013116), 6-phosphogluconate dehydrogenase, domain 2 (IPR013328), Ketol-acid reductoisomerase, plant (IPR016206), NAD(P)-binding domain superfamily (IPR036291)","AK072075 (DDBJ, Best hit)","B6TF69 (UniProt)","","","","","","",""
"Os01g0652700","LOC_Os01g46390","OsR498G0101665900.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27492260,27492703,".","+",".","ID=OsR498G0101665900.01;Name=OsR498G0101665900.01;","DUF538 domain containing protein, putative, expressed","Os01t0652700-00","Similar to predicted protein.","","","","","","","","Protein of unknown function DUF538 (IPR007493), At5g01610-like superfamily (IPR036758)","EU967350 (DDBJ)","NP_001043739.2 (RefSeq)","","","","","","",""
"Os01g0652800","LOC_Os01g46400","OsR498G0101666400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27495548,27497516,".","-",".","ID=OsR498G0101666400.01;Name=OsR498G0101666400.01;","expressed protein","Os01t0652800-04","Domain of unknown function DUF231, plant domain containing protein.","","","TBL57","TRICHOME BIREFRINGENCE-LIKE 57","OsTBL57, OsXyBAT1, XyBAT1","trichome birefringence-like 57, xyloglucan backbone O-acetyltransferase 1","Molecular Function: O-acetyltransferase activity (GO:0016413), Molecular Function: transferase activity (GO:0016740)","Trichome birefringence-like, C-terminal domain (IPR026057), Trichome birefringence-like family (IPR029962)","AK058693 (DDBJ, Best hit)","Q5VPB1 (UniProt)","","","21511","","","",""
"Os01g0652800","LOC_Os01g46400","OsR498G0101666400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27495548,27497516,".","-",".","ID=OsR498G0101666400.01;Name=OsR498G0101666400.01;","expressed protein","Os01t0652800-01","Xyloglucan backbone O-acetyltransferase 1, DUF231 protein","OsXyBAT1","xyloglucan backbone O-acetyltransferase 1","TBL57","TRICHOME BIREFRINGENCE-LIKE 57","OsTBL57, OsXyBAT1, XyBAT1","trichome birefringence-like 57, xyloglucan backbone O-acetyltransferase 1","Molecular Function: O-acetyltransferase activity (GO:0016413), Molecular Function: transferase activity (GO:0016740)","Trichome birefringence-like, N-terminal domain (IPR025846), Trichome birefringence-like, C-terminal domain (IPR026057), Trichome birefringence-like family (IPR029962)","AK061145, AK103547, AK104312","A0A6G8RR58, Q8RV74","March 17, 2022","32167545","21511","","","",""
"Os01g0653100","LOC_Os01g46410","OsR498G0101668200.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27508912,27510200,".","-",".","ID=OsR498G0101668200.01;Name=OsR498G0101668200.01;","leaf senescence related protein, putative, expressed","Os01t0653100-01","Xyloglucan backbone O-acetyltransferase 2, DUF231 protein","OsXyBAT2","xyloglucan backbone O-acetyltransferase 2","TBL58","TRICHOME BIREFRINGENCE-LIKE 58","OsTBL58, OsXyBAT2, XyBAT2","trichome birefringence-like 58, xyloglucan backbone O-acetyltransferase 2","Molecular Function: O-acetyltransferase activity (GO:0016413), Molecular Function: transferase activity (GO:0016740)","Trichome birefringence-like, N-terminal domain (IPR025846), Trichome birefringence-like, C-terminal domain (IPR026057), Trichome birefringence-like family (IPR029962)","MN996514","A0A6G8RRA5","March 17, 2022","32167545","21512","","","",""
"Os01g0653200","LOC_Os01g46430","OsR498G0160849600.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27514437,27517845,".","-",".","ID=OsR498G0160849600.01;Name=OsR498G0160849600.01;","glycosyl transferase, group 1 domain containing protein, expressed","Os01t0653200-01","Glycosyl transferase, group 1 domain containing protein.","","","","","","","Molecular Function: glycosyltransferase activity (GO:0016757)","Glycosyl transferase, family 1 (IPR001296), Glycosyltransferase subfamily 4-like, N-terminal domain (IPR028098)","AK110920 (DDBJ, Best hit)","NP_567589.1 (RefSeq)","","","","","","",""
"Os01g0653200","LOC_Os01g46430","OsR498G0101668900.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27514314,27516093,".","+",".","ID=OsR498G0101668900.01;Name=OsR498G0101668900.01;","glycosyl transferase, group 1 domain containing protein, expressed","Os01t0653200-01","Glycosyl transferase, group 1 domain containing protein.","","","","","","","Molecular Function: glycosyltransferase activity (GO:0016757)","Glycosyl transferase, family 1 (IPR001296), Glycosyltransferase subfamily 4-like, N-terminal domain (IPR028098)","AK110920 (DDBJ, Best hit)","NP_567589.1 (RefSeq)","","","","","","",""
"Os01g0653350","LOC_Os01g46450","OsR498G0101669500.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27530825,27532627,".","+",".","ID=OsR498G0101669500.01;Name=OsR498G0101669500.01;","expressed protein","Os01t0653350-00","Similar to WD-40 repeat family protein (Fragment).","","","","","","","","","ab initio prediction","Q45R32 (UniProt)","","","","","","",""
"Os01g0653500","LOC_Os01g46470","OsR498G0101669800.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27533369,27535170,".","-",".","ID=OsR498G0101669800.01;Name=OsR498G0101669800.01;","expressed protein","Os01t0653500-00","Conserved hypothetical protein.","","","","","","","","","ab initio prediction","Q5VPB2 (UniProt)","","","","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0653500","LOC_Os01g46470","OsR498G0101670200.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27535100,27536524,".","-",".","ID=OsR498G0101670200.01;Name=OsR498G0101670200.01;","expressed protein","Os01t0653500-00","Conserved hypothetical protein.","","","","","","","","","ab initio prediction","Q5VPB2 (UniProt)","","","","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0653700","LOC_Os01g46500","OsR498G0101671100.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27551207,27554512,".","+",".","ID=OsR498G0101671100.01;Name=OsR498G0101671100.01;","OsFBX21 - F-box domain containing protein, expressed","Os01t0653700-02","Cyclin-like F-box domain containing protein.","","","","","OsFbox032, OsFbox32, Os_F0271, OsFBX21, FBX21","F-box protein 32, F-box-type E3 ubiquitin ligase X21","Molecular Function: protein binding (GO:0005515)","F-box domain (IPR001810), Leucine-rich repeat domain superfamily (IPR032675), F-box-like domain superfamily (IPR036047)","AK120129 (DDBJ, Best hit)","B8A6U2 (UniProt)","","","16833","","","",""
"Os01g0653700","LOC_Os01g46500","OsR498G0101671100.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27551207,27554512,".","+",".","ID=OsR498G0101671100.01;Name=OsR498G0101671100.01;","OsFBX21 - F-box domain containing protein, expressed","Os01t0653700-01","Cyclin-like F-box domain containing protein.","","","","","OsFbox032, OsFbox32, Os_F0271, OsFBX21, FBX21","F-box protein 32, F-box-type E3 ubiquitin ligase X21","Molecular Function: protein binding (GO:0005515)","F-box domain (IPR001810), Leucine-rich repeat domain superfamily (IPR032675), F-box-like domain superfamily (IPR036047)","AK073990 (DDBJ, Best hit)","B8A6U2 (UniProt)","","","16833","","","",""
"Os01g0653800","LOC_Os01g46510","OsR498G0101671400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27555418,27567594,".","-",".","ID=OsR498G0101671400.01;Name=OsR498G0101671400.01;","peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed","Os01t0653800-02","WD40 repeat-like domain containing protein.","","","","","","","Molecular Function: protein binding (GO:0005515)","WD40 repeat (IPR001680), WD40/YVTN repeat-like-containing domain superfamily (IPR015943), WD40-repeat-containing domain superfamily (IPR036322)","AK111686 (DDBJ, Best hit)","Q2HV05 (UniProt)","","","","","","",""
"Os01g0653800","LOC_Os01g46510","OsR498G0101671400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27555418,27567594,".","-",".","ID=OsR498G0101671400.01;Name=OsR498G0101671400.01;","peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed","Os01t0653800-03","Similar to Peptidase S8 and S53, subtilisin, kexin, sedolisin; WD40-like.","","","","","","","","","AK111843 (DDBJ, Best hit)","Q2HV05 (UniProt)","","","","","","",""
"Os01g0653800","LOC_Os01g46510","OsR498G0101671400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27555418,27567594,".","-",".","ID=OsR498G0101671400.01;Name=OsR498G0101671400.01;","peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed","Os01t0653800-01","Similar to predicted protein.","","","","","","","Molecular Function: protein binding (GO:0005515)","WD40 repeat (IPR001680), WD40/YVTN repeat-like-containing domain superfamily (IPR015943), WD40-repeat-containing domain superfamily (IPR036322)","AK111531 (DDBJ, Best hit)","Q2HV05 (UniProt)","","","","","","",""
"Os01g0653800","LOC_Os01g46510","OsR498G0101669400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27527057,27529926,".","-",".","ID=OsR498G0101669400.01;Name=OsR498G0101669400.01;","peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed","Os01t0653800-02","WD40 repeat-like domain containing protein.","","","","","","","Molecular Function: protein binding (GO:0005515)","WD40 repeat (IPR001680), WD40/YVTN repeat-like-containing domain superfamily (IPR015943), WD40-repeat-containing domain superfamily (IPR036322)","AK111686 (DDBJ, Best hit)","Q2HV05 (UniProt)","","","","","","",""
"Os01g0653800","LOC_Os01g46510","OsR498G0101669400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27527057,27529926,".","-",".","ID=OsR498G0101669400.01;Name=OsR498G0101669400.01;","peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed","Os01t0653800-03","Similar to Peptidase S8 and S53, subtilisin, kexin, sedolisin; WD40-like.","","","","","","","","","AK111843 (DDBJ, Best hit)","Q2HV05 (UniProt)","","","","","","",""
"Os01g0653800","LOC_Os01g46510","OsR498G0101669400.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27527057,27529926,".","-",".","ID=OsR498G0101669400.01;Name=OsR498G0101669400.01;","peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed","Os01t0653800-01","Similar to predicted protein.","","","","","","","Molecular Function: protein binding (GO:0005515)","WD40 repeat (IPR001680), WD40/YVTN repeat-like-containing domain superfamily (IPR015943), WD40-repeat-containing domain superfamily (IPR036322)","AK111531 (DDBJ, Best hit)","Q2HV05 (UniProt)","","","","","","",""
"Os01g0654100","LOC_Os01g46570","OsR498G0101676300.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27616363,27623659,".","+",".","ID=OsR498G0101676300.01;Name=OsR498G0101676300.01;","CTP synthase, putative, expressed","Os01t0654100-03","Similar to CTP synthase.","","","CTPS2","CYTIDINE TRIPHOSPHATE SYNTHASE 2","OsCTPS2","cytidine triphosphate synthase 2","Biological Process: CTP biosynthetic process (GO:0006241), Biological Process: pyrimidine nucleotide biosynthetic process (GO:0006221), Molecular Function: CTP synthase activity (GO:0003883)","CTP synthase (IPR004468), Glutamine amidotransferase (IPR017926), Class I glutamine amidotransferase-like (IPR029062), CTP synthase GATase domain (IPR033828)","AK062263 (DDBJ, Best hit)","NP_001148101.1 (RefSeq)","","","24076","","","",""
"Os01g0654100","LOC_Os01g46570","OsR498G0101676300.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27616363,27623659,".","+",".","ID=OsR498G0101676300.01;Name=OsR498G0101676300.01;","CTP synthase, putative, expressed","Os01t0654100-01","Similar to CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase) (CTP synthetase).","","","CTPS2","CYTIDINE TRIPHOSPHATE SYNTHASE 2","OsCTPS2","cytidine triphosphate synthase 2","Biological Process: CTP biosynthetic process (GO:0006241), Biological Process: pyrimidine nucleotide biosynthetic process (GO:0006221), Molecular Function: CTP synthase activity (GO:0003883)","CTP synthase (IPR004468), CTP synthase, N-terminal (IPR017456), Glutamine amidotransferase (IPR017926), P-loop containing nucleoside triphosphate hydrolase (IPR027417), Class I glutamine amidotransferase-like (IPR029062), CTP synthase GATase domain (IPR033828)","AK069482 (DDBJ, Best hit)","NP_001148101.1 (RefSeq)","","","24076","","","",""
"Os01g0654100","LOC_Os01g46570","OsR498G0101676300.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27616363,27623659,".","+",".","ID=OsR498G0101676300.01;Name=OsR498G0101676300.01;","CTP synthase, putative, expressed","Os01t0654100-02","CTP synthase domain containing protein.","","","CTPS2","CYTIDINE TRIPHOSPHATE SYNTHASE 2","OsCTPS2","cytidine triphosphate synthase 2","Biological Process: pyrimidine nucleotide biosynthetic process (GO:0006221), Molecular Function: CTP synthase activity (GO:0003883)","CTP synthase (IPR004468), CTP synthase, N-terminal (IPR017456), P-loop containing nucleoside triphosphate hydrolase (IPR027417)","AK111300 (DDBJ, Best hit)","Q6AUM6 (UniProt)","","","24076","","","CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0654200","LOC_Os01g46590","OsR498G0101676600.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27624153,27629203,".","-",".","ID=OsR498G0101676600.01;Name=OsR498G0101676600.01;","expressed protein","Os01t0654200-01","Peptidase M50 domain containing protein.","","","","","","","Biological Process: proteolysis (GO:0006508), Cellular Component: membrane (GO:0016020), Molecular Function: metalloendopeptidase activity (GO:0004222)","Membrane-bound transcription factor site-2 protease (IPR001193)","AK100750 (DDBJ, Best hit)","B9EYD8 (UniProt)","","","","","","CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0654300","LOC_Os01g46580","OsR498G0101676700.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27629343,27634470,".","+",".","ID=OsR498G0101676700.01;Name=OsR498G0101676700.01;","actin-related protein 2%2F3 complex subunit 2, putative, expressed","Os01t0654300-01","Similar to ARP2/3 complex 34 kDa subunit.","","","","","","","Biological Process: Arp2/3 complex-mediated actin nucleation (GO:0034314), Biological Process: actin filament polymerization (GO:0030041), Cellular Component: Arp2/3 protein complex (GO:0005885), Cellular Component: actin cytoskeleton (GO:0015629)","Actin-related protein 2/3 complex subunit 2 (IPR007188), Arp2/3 complex subunit 2/4 (IPR034666)","AK058593 (DDBJ, Best hit)","B6TA29 (UniProt)","","","","","","CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0654450","LOC_Os01g46580","OsR498G0101676700.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27629343,27634470,".","+",".","ID=OsR498G0101676700.01;Name=OsR498G0101676700.01;","actin-related protein 2%2F3 complex subunit 2, putative, expressed","Os01t0654450-00","Hypothetical gene.","","","","","","","","","EU946002 (DDBJ)","longestORF","","","","","","",""
"Os01g0654500","LOC_Os01g46610","OsR498G0101677000.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27634903,27639116,".","-",".","ID=OsR498G0101677000.01;Name=OsR498G0101677000.01;","dehydrogenase, putative, expressed","Os01t0654500-01","Similar to NADP-isocitrate dehydrogenase.","","","","","","isocitrate dehydrogenase, isocitrate dehydrogenase (NADP+)","Biological Process: isocitrate metabolic process (GO:0006102), Molecular Function: NAD binding (GO:0051287), Molecular Function: isocitrate dehydrogenase (NADP+) activity (GO:0004450), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)","Isocitrate dehydrogenase NADP-dependent (IPR004790), Isocitrate/isopropylmalate dehydrogenase, conserved site (IPR019818), Isopropylmalate dehydrogenase-like domain (IPR024084)","AK061752 (DDBJ, Best hit)","Q9XGU8 (UniProt)","","","14455","","","",""
"Os01g0654900","LOC_Os01g46660","OsR498G0101678500.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27652107,27655163,".","+",".","ID=OsR498G0101678500.01;Name=OsR498G0101678500.01;","transposon protein, putative, unclassified, expressed","Os01t0654900-00","Hypothetical conserved gene.","","","","","","","","","ab initio prediction","NP_001172487.1 (RefSeq)","","","","","","",""
"Os01g0655300","LOC_Os01g46700","OsR498G0101680700.01",1,2,0.00320063281958282,27671333,"Os13686",27571333,27771333,1,180541,"IGDBv2","gene",27673182,27680966,".","+",".","ID=OsR498G0101680700.01;Name=OsR498G0101680700.01;","SET domain containing protein, expressed","Os01t0655300-01","TRITHORAX-like protein, Regulation of H3K4 methylation, Regulation of plant height and pollen grain development","SDG705","SET-domain group protein 705","","","OsSET2, SDG705","SET protein 2","","","AK062870 (truncated)","B9EYE3","April 14, 2020","29473711","13371","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
