"Locus_ID","LOC","ID.x","CHROM","chain","sig_SNP","sig_SNP_POS","sig_SNP_name","peak_start","peak_end","snps_in_chain","dist.focal.snp","source","feature","start","end","score","strand","frame","descriptor","func","Transcript_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","Oryzabase.Trait.Gene.ID","Subcellular.location","Comment","B5toI1","Trait_Oncology"
"Os01g0131600","LOC_Os01g04020","OsR498G0100109900.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1645062,1647221,".","+",".","ID=OsR498G0100109900.01;Name=OsR498G0100109900.01;","AP2 domain containing protein, expressed","Os01t0131600-02","Similar to pathogenesis-related transcriptional activator PTI6.","","","ERF108","ETHYLENE RESPONSE FACTOR 108","OsAP2, OsERF#108, OsERF108, AP2/EREBP#001, AP2/EREBP1, RD2","APETALA2, ethylene response factor 108, APETALA2/ethylene-responsive element binding protein 1, Rice Drought-responsive gene 2","Biological Process: regulation of DNA-templated transcription (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-binding transcription factor activity (GO:0003700)","AP2/ERF domain (IPR001471), DNA-binding domain superfamily (IPR016177), AP2/ERF domain superfamily (IPR036955)","AK062063 (DDBJ, Best hit)","NP_001147717.1 (RefSeq)","","","10229","","","","jasmonic acid sensitivity (TO:0000172) | drought tolerance (TO:0000276)"
"Os01g0131800","LOC_Os01g04030","OsR498G0100110900.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1653061,1656207,".","+",".","ID=OsR498G0100110900.01;Name=OsR498G0100110900.01;","signal peptidase complex subunit 3, putative, expressed","Os01t0131800-01","Signal peptidase 22 kDa subunit family protein.","","","","","","","Biological Process: signal peptide processing (GO:0006465), Cellular Component: membrane (GO:0016020), Cellular Component: signal peptidase complex (GO:0005787)","Signal peptidase complex subunit 3 (IPR007653)","AK243458 (DDBJ, Best hit)","Q84KA8 (UniProt)","","","","","","",""
"Os01g0131900","LOC_Os01g04040","OsR498G0100111200.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1656512,1657479,".","-",".","ID=OsR498G0100111200.01;Name=OsR498G0100111200.01;","BBTI11 - Bowman-Birk type bran trypsin inhibitor precursor, putative, expressed","Os01t0131900-00","Similar to Wound-induced protease inhibitor (WIP1).","","","","","","","Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)","Proteinase inhibitor I12, Bowman-Birk (IPR000877), Bowman-Birk type proteinase inhibitor (IPR035995), Bowman-Birk type wound-induced proteinase inhibitor WIP1 (IPR044167)","ab initio prediction","Q7GC15 (UniProt)","","","20467","","","Exon-intron structures and exon sequences are different between Build 5 and IRGSP-1.0.","drought tolerance (TO:0000276)"
"Os01g0132100","LOC_Os01g04070","OsR498G0100112300.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1663852,1666309,".","+",".","ID=OsR498G0100112300.01;Name=OsR498G0100112300.01;","verticillium wilt disease resistance protein, putative, expressed","Os01t0132100-00","Leucine-rich repeat domain containing protein.","","","","","","Leucine-rich repeat receptor-like kinase","Molecular Function: protein binding (GO:0005515)","Leucine-rich repeat (IPR001611), Leucine-rich repeat, typical subtype (IPR003591), Leucine-rich repeat domain superfamily (IPR032675), Receptor-like protein 23-like (IPR046956)","ab initio prediction","NP_001041930.1 (RefSeq)","","","19080","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0132100","LOC_Os01g04070","OsR498G0100112200.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1663580,1669024,".","-",".","ID=OsR498G0100112200.01;Name=OsR498G0100112200.01;","verticillium wilt disease resistance protein, putative, expressed","Os01t0132100-00","Leucine-rich repeat domain containing protein.","","","","","","Leucine-rich repeat receptor-like kinase","Molecular Function: protein binding (GO:0005515)","Leucine-rich repeat (IPR001611), Leucine-rich repeat, typical subtype (IPR003591), Leucine-rich repeat domain superfamily (IPR032675), Receptor-like protein 23-like (IPR046956)","ab initio prediction","NP_001041930.1 (RefSeq)","","","19080","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0132200","LOC_Os01g04080","OsR498G0100112800.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1670136,1671168,".","-",".","ID=OsR498G0100112800.01;Name=OsR498G0100112800.01;","expressed protein","Os01t0132200-01","Conserved hypothetical protein.","","","","","","Expressed protein","","","AK108153 (DDBJ, Best hit)","A2WKB0 (UniProt)","","","23611","","","",""
"Os01g0132400","LOC_Os01g04090","OsR498G0100113200.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1674687,1676891,".","-",".","ID=OsR498G0100113200.01;Name=OsR498G0100113200.01;","expressed protein","Os01t0132400-01","Conserved hypothetical protein.","","","","","","","","","AK106795 (DDBJ, Best hit)","A2ZNX3 (UniProt)","","","","","","",""
"Os01g0132500","LOC_Os01g04100","OsR498G0100113300.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1679795,1681106,".","+",".","ID=OsR498G0100113300.01;Name=OsR498G0100113300.01;","expressed protein","Os01t0132500-01","Protein of unknown function DUF1639 domain containing protein.","","","","","","","","Protein of unknown function DUF1639 (IPR012438)","AK288006 (DDBJ, Best hit)","NP_001041933.2 (RefSeq)","","","","","","CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0132700","LOC_Os01g04110","OsR498G0100113600.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1680403,1690268,".","-",".","ID=OsR498G0100113600.01;Name=OsR498G0100113600.01;","mediator of RNA polymerase II transcription subunit 22, putative, expressed","Os01t0132700-01","Surfeit locus 5 family protein.","","","","","OsMed22_1, Med22_1","Mediator 22_1","Biological Process: regulation of transcription by RNA polymerase II (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: transcription coregulator activity (GO:0003712)","Mediator of RNA polymerase II transcription subunit 22 (IPR009332)","AK241630 (DDBJ, Best hit)","NP_001150903.1 (RefSeq)","","","20979","","","","silicon sensitivity (TO:0000031)"
"Os01g0137400","LOC_Os01g04470","OsR498G0100132300.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2032527,2033028,".","+",".","ID=OsR498G0100132300.01;Name=OsR498G0100132300.01;","expressed protein","Os01t0137400-00","Protein kinase, catalytic domain domain containing protein.","","","RLCK21","RECEPTOR-LIKE CYTOPLASMIC KINASE 21","OsRLCK21","Receptor-like Cytoplasmic Kinase 21","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: ATP binding (GO:0005524), Molecular Function: polysaccharide binding (GO:0030247), Molecular Function: protein kinase activity (GO:0004672)","Protein kinase domain (IPR000719), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain superfamily (IPR011009), Protein kinase, ATP binding site (IPR017441), Wall-associated receptor kinase, galacturonan-binding domain (IPR025287), Rust resistance kinase Lr10 (IPR045874)","BT067456 (DDBJ)","B9EZD9 (UniProt)","","","18741","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0138300","LOC_Os01g04570","OsR498G0100132900.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2035379,2038021,".","+",".","ID=OsR498G0100132900.01;Name=OsR498G0100132900.01;","Ser%2FThr protein kinase, putative, expressed","Os01t0138300-01","Conserved hypothetical protein.","","","","","","","Molecular Function: polysaccharide binding (GO:0030247)","Wall-associated receptor kinase, galacturonan-binding domain (IPR025287), Wall-associated receptor kinase, C-terminal (IPR032872)","AK070932 (DDBJ, Best hit)","B8AD55 (UniProt)","","","","","","CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0138300","LOC_Os01g04570","OsR498G0100132900.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2035379,2038021,".","+",".","ID=OsR498G0100132900.01;Name=OsR498G0100132900.01;","Ser%2FThr protein kinase, putative, expressed","Os01t0138300-02","Protein kinase, core domain containing protein.","","","","","","","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: ATP binding (GO:0005524), Molecular Function: polysaccharide binding (GO:0030247), Molecular Function: protein kinase activity (GO:0004672)","Protein kinase domain (IPR000719), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain superfamily (IPR011009), Protein kinase, ATP binding site (IPR017441), Wall-associated receptor kinase, galacturonan-binding domain (IPR025287), Wall-associated receptor kinase, C-terminal (IPR032872), Rust resistance kinase Lr10 (IPR045874)","AK099912 (DDBJ, Best hit)","B8AD55 (UniProt)","","","","","","",""
"Os01g0138300","LOC_Os01g04570","OsR498G0100133900.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2047859,2051704,".","+",".","ID=OsR498G0100133900.01;Name=OsR498G0100133900.01;","Ser%2FThr protein kinase, putative, expressed","Os01t0138300-01","Conserved hypothetical protein.","","","","","","","Molecular Function: polysaccharide binding (GO:0030247)","Wall-associated receptor kinase, galacturonan-binding domain (IPR025287), Wall-associated receptor kinase, C-terminal (IPR032872)","AK070932 (DDBJ, Best hit)","B8AD55 (UniProt)","","","","","","CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0138300","LOC_Os01g04570","OsR498G0100133900.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2047859,2051704,".","+",".","ID=OsR498G0100133900.01;Name=OsR498G0100133900.01;","Ser%2FThr protein kinase, putative, expressed","Os01t0138300-02","Protein kinase, core domain containing protein.","","","","","","","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: ATP binding (GO:0005524), Molecular Function: polysaccharide binding (GO:0030247), Molecular Function: protein kinase activity (GO:0004672)","Protein kinase domain (IPR000719), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain superfamily (IPR011009), Protein kinase, ATP binding site (IPR017441), Wall-associated receptor kinase, galacturonan-binding domain (IPR025287), Wall-associated receptor kinase, C-terminal (IPR032872), Rust resistance kinase Lr10 (IPR045874)","AK099912 (DDBJ, Best hit)","B8AD55 (UniProt)","","","","","","",""
"Os01g0138400","LOC_Os01g04580","OsR498G0100134300.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2052724,2056628,".","+",".","ID=OsR498G0100134300.01;Name=OsR498G0100134300.01;","Ser%2FThr protein kinase, putative, expressed","Os01t0138400-01","Serine/threonine protein kinase domain containing protein.","","","","","","","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: ATP binding (GO:0005524), Molecular Function: polysaccharide binding (GO:0030247), Molecular Function: protein kinase activity (GO:0004672)","Protein kinase domain (IPR000719), Serine-threonine/tyrosine-protein kinase, catalytic domain (IPR001245), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain superfamily (IPR011009), Protein kinase, ATP binding site (IPR017441), Wall-associated receptor kinase, galacturonan-binding domain (IPR025287), Wall-associated receptor kinase, C-terminal (IPR032872), Rust resistance kinase Lr10 (IPR045874)","AK110482 (DDBJ, Best hit)","A5JS88 (UniProt)","","","","","","",""
"Os01g0138500","LOC_Os01g04590","OsR498G0100135100.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2058274,2061236,".","+",".","ID=OsR498G0100135100.01;Name=OsR498G0100135100.01;","expressed protein","Os01t0138500-01","Protein of unknown function DUF789 family protein.","","","","","","","","Protein of unknown function DUF789 (IPR008507)","AK073435 (DDBJ, Best hit)","B8AD56 (UniProt)","","","","","","",""
"Os01g0138600","LOC_Os01g04600","OsR498G0100135400.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2062562,2065147,".","-",".","ID=OsR498G0100135400.01;Name=OsR498G0100135400.01;","expressed protein","Os01t0138600-01","phosphotransferase system, PEP-utilising enzyme, N-terminal domain containing protein.","","","","","","","","","AK100982 (DDBJ, Best hit)","A2ZP20 (UniProt)","","","","","","",""
"Os01g0138800","LOC_Os01g04620","OsR498G0100135700.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2070764,2072571,".","+",".","ID=OsR498G0100135700.01;Name=OsR498G0100135700.01;","transposon protein, putative, unclassified, expressed","Os01t0138800-01","Peptidase C26 domain containing protein.","","","","","","","Molecular Function: hydrolase activity (GO:0016787), Molecular Function: hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)","Peptidase C26 (IPR011697), Class I glutamine amidotransferase-like (IPR029062), Peptidase C26, gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD-like (IPR044668)","AK106157 (DDBJ, Best hit)","NP_568556.3 (RefSeq)","","","","","","",""
"Os01g0138900","LOC_Os01g04630","OsR498G0100136000.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2073479,2076853,".","-",".","ID=OsR498G0100136000.01;Name=OsR498G0100136000.01;","muconate cycloisomerase, putative, expressed","Os01t0138900-01","Mandelate racemase/muconate lactonizing enzyme family protein.","","","","","","","Molecular Function: racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)","Mandelate racemase/muconate lactonizing enzyme, N-terminal domain (IPR013341), Mandelate racemase/muconate lactonizing enzyme, C-terminal (IPR013342), Enolase-like, N-terminal (IPR029017), Enolase C-terminal domain-like (IPR029065), Dipeptide epimerase (IPR034603), Enolase-like, C-terminal domain superfamily (IPR036849)","AK058378 (DDBJ, Best hit)","NP_566605.1 (RefSeq)","","","","","","",""
"Os01g0139000","LOC_Os01g04640","OsR498G0100136300.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2078841,2080508,".","+",".","ID=OsR498G0100136300.01;Name=OsR498G0100136300.01;","reticulon domain containing protein, putative, expressed","Os01t0139000-00","Reticulon family protein.","","","","","","","","Reticulon (IPR003388)","AK248206 (DDBJ)","NP_001041975.1 (RefSeq)","","","","","","",""
"Os01g0139200","LOC_Os01g04650","OsR498G0100136800.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2082643,2086177,".","-",".","ID=OsR498G0100136800.01;Name=OsR498G0100136800.01;","PB1 domain containing protein, expressed","Os01t0139200-01","Octicosapeptide/Phox/Bem1p domain containing protein.","","","","","","","Molecular Function: protein binding (GO:0005515)","PB1 domain (IPR000270)","AK065080 (DDBJ, Best hit)","A2WKG3 (UniProt)","","","","","","",""
"Os01g0139200","LOC_Os01g04650","OsR498G0100136800.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2082643,2086177,".","-",".","ID=OsR498G0100136800.01;Name=OsR498G0100136800.01;","PB1 domain containing protein, expressed","Os01t0139200-03","Conserved hypothetical protein.","","","","","","","","","AK070687 (DDBJ, Best hit)","A2WKG3 (UniProt)","","","","","","",""
"Os01g0139200","LOC_Os01g04650","OsR498G0100136800.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2082643,2086177,".","-",".","ID=OsR498G0100136800.01;Name=OsR498G0100136800.01;","PB1 domain containing protein, expressed","Os01t0139200-02","Octicosapeptide/Phox/Bem1p domain containing protein.","","","","","","","Molecular Function: protein binding (GO:0005515)","PB1 domain (IPR000270)","AK098852 (DDBJ, Best hit), AK098894 (DDBJ, Best hit), AK099060 (DDBJ, Best hit)","A2WKG3 (UniProt)","","","","","","Exon-intron structures and exon sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0139600","LOC_Os01g04660","OsR498G0100138300.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2096141,2099641,".","+",".","ID=OsR498G0100138300.01;Name=OsR498G0100138300.01;","lipid phosphatase protein, putative, expressed","Os01t0139600-01","Similar to Lipid phosphate phosphatase 2 (EC 3.1.3.-) (AtLPP2) (Phosphatidic acid phosphatase 2) (AtPAP2) (Prenyl diphosphate phosphatase).","","","","","","","Biological Process: phospholipid metabolic process (GO:0006644)","Phosphatidic acid phosphatase type 2/haloperoxidase (IPR000326), Phosphatidic acid phosphatase type 2/haloperoxidase superfamily (IPR036938), Phosphatidate (PA) phosphatase-related (IPR043216)","AK073130 (DDBJ, Best hit)","B4FH50 (UniProt)","","","","","","",""
"Os01g0139900","LOC_Os01g04690","OsR498G0100139600.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2107832,2108623,".","-",".","ID=OsR498G0100139600.01;Name=OsR498G0100139600.01;","expressed protein","Os01t0139900-01","Conserved hypothetical protein.","","","","","","","","","AK121677 (DDBJ, Best hit)","B8AD59 (UniProt)","","","","","","",""
"Os01g0140400","LOC_Os01g04720","OsR498G0100141500.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2129632,2136144,".","+",".","ID=OsR498G0100141500.01;Name=OsR498G0100141500.01;","leucine-rich repeat protein-related, putative, expressed","Os01t0140400-02","Leucine-rich repeat, N-terminal domain containing protein.","","","MRLP1","MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE PROTEIN 1","PLRRP, OsMRLP1","putative leucine rich repeat protein","Molecular Function: protein binding (GO:0005515)","Leucine-rich repeat (IPR001611), Malectin-like domain (IPR024788), Leucine-rich repeat domain superfamily (IPR032675)","AK063999 (DDBJ, Best hit)","B7EU05 (UniProt)","","","16257","","","",""
"Os01g0140400","LOC_Os01g04720","OsR498G0100141500.01",1,2,0.0013357175164557,2124572,"Os1096",2024572,2224572,21,468631,"IGDBv2","gene",2129632,2136144,".","+",".","ID=OsR498G0100141500.01;Name=OsR498G0100141500.01;","leucine-rich repeat protein-related, putative, expressed","Os01t0140400-01","Similar to leucine-rich repeat protein-related.","","","MRLP1","MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE PROTEIN 1","PLRRP, OsMRLP1","putative leucine rich repeat protein","","Malectin-like domain (IPR024788), Leucine-rich repeat domain superfamily (IPR032675)","AK103044 (DDBJ, Best hit)","NP_564237.2 (RefSeq)","","","16257","","","",""
